OP,reference,created_time,updated_time,balance_sheet_reference,account_reference,amount
INSERT,CrNKU6oB,2024-09-05T12:56:45.979350Z,2024-09-05T12:56:45.979350Z,nbnAySuF,FXSs9CVf,1370067
INSERT,hWpwehRC,2024-09-05T12:56:45.979350Z,2024-09-05T12:56:45.979350Z,nbnAySuF,SZjph9v8,42912
INSERT,DfpsZKK4,2024-09-05T12:56:45.979350Z,2024-09-05T12:56:45.979350Z,nbnAySuF,xDSpGPK7,156358
INSERT,YPuCjtta,2024-09-05T12:56:45.979350Z,2024-09-05T12:56:45.979350Z,nbnAySuF,tQqodHcm,80164
INSERT,ZXJkNUBW,2024-09-05T12:56:45.979350Z,2024-09-05T12:56:45.979350Z,nbnAySuF,TA23Za6E,60891
INSERT,syyknC42,2024-09-05T12:56:45.979350Z,2024-09-05T12:56:45.979350Z,nbnAySuF,xa3Y4mos,1593819
INSERT,FMJp7kXC,2024-09-05T12:56:45.979350Z,2024-09-05T12:56:45.979350Z,nbnAySuF,oo3dKjpa,9201
INSERT,MrjuChth,2024-09-05T12:56:45.979350Z,2024-09-05T12:56:45.979350Z,nbnAySuF,uHAYzo9i,114420
INSERT,ECbQKbpt,2024-09-05T12:56:45.979350Z,2024-09-05T12:56:45.979350Z,nbnAySuF,FowrhphW,776158
INSERT,yFdYtDSa,2024-09-05T12:56:45.979350Z,2024-09-05T12:56:45.979350Z,BW7DnxVN,W3Lz4U2i,205151
INSERT,u4ccQYDN,2024-09-05T12:56:45.979350Z,2024-09-05T12:56:45.979350Z,BW7DnxVN,w9KXfqC6,136684
INSERT,kfYsnFC2,2024-09-05T12:56:45.979350Z,2024-09-05T12:56:45.979350Z,BW7DnxVN,XHGYEFBk,26293
INSERT,4Xtm9vhT,2024-09-05T12:56:45.979350Z,2024-09-05T12:56:45.979350Z,BW7DnxVN,BKugABq9,14034
INSERT,4otmxXUh,2024-09-05T12:56:45.979350Z,2024-09-05T12:56:45.979350Z,BW7DnxVN,yy7yR7mw,47103
INSERT,Zmi67hFZ,2024-09-05T12:56:45.979350Z,2024-09-05T12:56:45.979350Z,BW7DnxVN,nNMBYWD3,15775
INSERT,mStZMd38,2024-09-05T12:56:45.979350Z,2024-09-05T12:56:45.979350Z,BW7DnxVN,Bs36Lr9f,-4554533
INSERT,o88VggQC,2024-09-05T12:56:45.979350Z,2024-09-05T12:56:45.979350Z,BW7DnxVN,FXSs9CVf,1366360
INSERT,UmJSz4A4,2024-09-05T12:56:45.979350Z,2024-09-05T12:56:45.979350Z,BW7DnxVN,SZjph9v8,40472
INSERT,mn6EiQja,2024-09-05T12:56:45.979350Z,2024-09-05T12:56:45.979350Z,BW7DnxVN,xDSpGPK7,306572
INSERT,iBQbxun9,2024-09-05T12:56:45.979350Z,2024-09-05T12:56:45.979350Z,BW7DnxVN,tQqodHcm,77274
INSERT,W5zjj5Dk,2024-09-05T12:56:45.979350Z,2024-09-05T12:56:45.979350Z,BW7DnxVN,TA23Za6E,58897
INSERT,87GzK3UD,2024-09-05T12:56:45.979350Z,2024-09-05T12:56:45.979350Z,BW7DnxVN,xa3Y4mos,1656914
INSERT,sxkiQuHM,2024-09-05T12:56:45.979350Z,2024-09-05T12:56:45.979350Z,BW7DnxVN,oo3dKjpa,9284
INSERT,NU7shmt4,2024-09-05T12:56:45.979350Z,2024-09-05T12:56:45.979350Z,BW7DnxVN,uHAYzo9i,115825
INSERT,dEf5b97c,2024-09-05T12:56:45.979350Z,2024-09-05T12:56:45.979350Z,BW7DnxVN,FowrhphW,680629
INSERT,Yhbuqtop,2024-09-05T12:56:45.979350Z,2024-09-05T12:56:45.979350Z,nE8aQnzk,XHGYEFBk,21826
INSERT,uhtZqcUF,2024-09-05T12:56:45.979350Z,2024-09-05T12:56:45.979350Z,nE8aQnzk,ekrV3GbM,166304
INSERT,DaeTyiCm,2024-09-05T12:56:45.979350Z,2024-09-05T12:56:45.979350Z,nE8aQnzk,W3Lz4U2i,206351
INSERT,Ab2eD4fm,2024-09-05T12:56:45.979350Z,2024-09-05T12:56:45.979350Z,nE8aQnzk,w9KXfqC6,124674
INSERT,8XexdmG8,2024-09-05T12:56:45.979350Z,2024-09-05T12:56:45.979350Z,nE8aQnzk,BKugABq9,14470
INSERT,nLJu7duA,2024-09-05T12:56:45.979350Z,2024-09-05T12:56:45.979350Z,nE8aQnzk,yy7yR7mw,49089
INSERT,pCNQ9t55,2024-09-05T12:56:45.979350Z,2024-09-05T12:56:45.979350Z,nE8aQnzk,nNMBYWD3,49949
INSERT,7WMYdEHo,2024-09-05T12:56:45.979350Z,2024-09-05T12:56:45.979350Z,nE8aQnzk,Bs36Lr9f,-4541796
INSERT,JaGWB3ZU,2024-09-05T12:56:45.979350Z,2024-09-05T12:56:45.979350Z,nE8aQnzk,FXSs9CVf,1362539
INSERT,afxincoP,2024-09-05T12:56:45.979350Z,2024-09-05T12:56:45.979350Z,nE8aQnzk,xDSpGPK7,360637
INSERT,d5stXMKR,2024-09-05T12:56:45.979350Z,2024-09-05T12:56:45.979350Z,nE8aQnzk,26CACQcy,-9493
INSERT,sfdqwVNR,2024-09-05T12:56:45.979350Z,2024-09-05T12:56:45.979350Z,nE8aQnzk,tQqodHcm,84114
INSERT,e2sCNZ5z,2024-09-05T12:56:45.979350Z,2024-09-05T12:56:45.979350Z,nE8aQnzk,cHd76DUN,-2328
INSERT,8r76wVYW,2024-09-05T12:56:45.979350Z,2024-09-05T12:56:45.979350Z,nE8aQnzk,hWeU9mSG,-4347
INSERT,TdoD5pJv,2024-09-05T12:56:45.979350Z,2024-09-05T12:56:45.979350Z,nE8aQnzk,TA23Za6E,54905
INSERT,NszbVXFq,2024-09-05T12:56:45.979350Z,2024-09-05T12:56:45.979350Z,nE8aQnzk,xa3Y4mos,1550834
INSERT,jYXSopQc,2024-09-05T12:56:45.979350Z,2024-09-05T12:56:45.979350Z,nE8aQnzk,oo3dKjpa,9665
INSERT,Xed6jqVd,2024-09-05T12:56:45.979350Z,2024-09-05T12:56:45.979350Z,nE8aQnzk,FowrhphW,644306
INSERT,P6aBb6Tx,2024-09-05T12:56:45.979350Z,2024-09-05T12:56:45.979350Z,nE8aQnzk,uHAYzo9i,117805
INSERT,uLFWWdBp,2024-09-05T12:56:45.979350Z,2024-10-04T13:55:30.564722Z,nE8aQnzk,SZjph9v8,0
INSERT,p4hfvDV9,2024-09-05T13:47:41.843467Z,2024-09-05T13:47:41.843467Z,URx7nTtX,uHAYzo9i,50000
INSERT,2jgKsjjC,2024-09-05T13:47:59.303099Z,2024-09-05T13:47:59.303099Z,URx7nTtX,FowrhphW,694417
INSERT,aa62QDd2,2024-09-05T13:48:20.001784Z,2024-09-05T13:48:20.001784Z,URx7nTtX,oo3dKjpa,9952
INSERT,jzkK4p6R,2024-09-05T13:49:08.588114Z,2024-09-05T13:49:08.588114Z,URx7nTtX,xa3Y4mos,1613683
INSERT,L24bBeph,2024-09-05T13:49:42.614359Z,2024-09-05T13:49:42.614359Z,URx7nTtX,cHd76DUN,-119
INSERT,sujAKrNH,2024-09-05T13:50:19.558072Z,2024-09-05T13:50:19.558072Z,URx7nTtX,TA23Za6E,50465
INSERT,rikBmjfi,2024-09-05T13:50:48.489361Z,2024-09-05T13:50:48.489361Z,URx7nTtX,hWeU9mSG,-2330
INSERT,KEjrUW2u,2024-09-05T13:51:22.469569Z,2024-09-05T13:51:22.469569Z,URx7nTtX,tQqodHcm,90657
INSERT,3iUzoQvu,2024-09-05T13:52:37.816446Z,2024-09-05T13:52:37.816446Z,URx7nTtX,26CACQcy,-549
INSERT,XciPjxZD,2024-09-05T13:53:14.707953Z,2024-09-05T13:53:14.707953Z,URx7nTtX,xDSpGPK7,361122
INSERT,QmHoKsX9,2024-09-05T13:54:18.366038Z,2024-09-05T13:54:18.366038Z,URx7nTtX,FXSs9CVf,1358770
INSERT,zkRxqtbz,2024-09-05T13:54:35.965289Z,2024-09-05T13:54:35.965289Z,URx7nTtX,Bs36Lr9f,-4529233
INSERT,bVLh5bRd,2024-09-05T13:55:01.324587Z,2024-09-05T13:55:01.324587Z,URx7nTtX,nNMBYWD3,43722
INSERT,uTDrafJd,2024-09-05T13:55:19.128138Z,2024-09-05T13:55:19.128138Z,URx7nTtX,yy7yR7mw,49415
INSERT,8RvuxyR3,2024-09-05T13:56:03.562697Z,2024-09-05T13:56:03.562697Z,URx7nTtX,BKugABq9,17130
INSERT,Y3uFTdZr,2024-09-05T13:56:34.580865Z,2024-09-05T13:56:34.580865Z,URx7nTtX,w9KXfqC6,127777
INSERT,VeU92GTW,2024-09-05T13:57:04.554600Z,2024-09-05T13:57:04.554600Z,URx7nTtX,W3Lz4U2i,205532
INSERT,KBqsrEB3,2024-09-05T13:57:30.423018Z,2024-09-05T13:57:30.423018Z,URx7nTtX,ekrV3GbM,173940
INSERT,zLWatGWh,2024-09-05T13:57:54.028919Z,2024-09-05T13:57:54.028919Z,URx7nTtX,XHGYEFBk,331011
INSERT,ZXmvkpQZ,2024-09-05T13:53:37.729299Z,2024-10-04T13:55:07.991978Z,URx7nTtX,SZjph9v8,0
INSERT,6BoH7u5E,2024-10-04T13:59:18.687468Z,2024-10-04T13:59:18.687468Z,RasSgRUe,efpmBxpS,149999
INSERT,mV3SDTA8,2024-10-04T14:00:04.333806Z,2024-10-04T14:00:04.333806Z,RasSgRUe,uHAYzo9i,51964
INSERT,xJY5Pa6c,2024-10-04T14:00:54.133249Z,2024-10-04T14:00:54.133249Z,RasSgRUe,FowrhphW,403328
INSERT,LYyCu7sB,2024-10-04T14:01:28.268048Z,2024-10-04T14:01:28.268048Z,RasSgRUe,oo3dKjpa,9997
INSERT,bDSBSfJi,2024-10-04T14:02:10.091181Z,2024-10-04T14:02:10.091181Z,RasSgRUe,xa3Y4mos,1633971
INSERT,8DoDpnM6,2024-10-04T14:02:45.693276Z,2024-10-04T14:02:45.693276Z,RasSgRUe,cHd76DUN,-14941
INSERT,wyLoAcZp,2024-10-04T14:03:21.773815Z,2024-10-04T14:03:21.773815Z,RasSgRUe,TA23Za6E,48165
INSERT,asJvTTHJ,2024-10-04T14:03:45.018283Z,2024-10-04T14:03:45.018283Z,RasSgRUe,hWeU9mSG,-1238
INSERT,CAaJdtoM,2024-10-04T14:04:33.163378Z,2024-10-04T14:04:33.163378Z,RasSgRUe,tQqodHcm,317886
INSERT,p5cmWX6J,2024-10-04T14:05:07.526101Z,2024-10-04T14:05:07.526101Z,RasSgRUe,26CACQcy,-215
INSERT,SVQjEzcv,2024-10-04T14:05:55.555285Z,2024-10-04T14:05:55.555285Z,RasSgRUe,xDSpGPK7,361541
INSERT,nUXjuNP9,2024-10-04T14:06:24.694174Z,2024-10-04T14:06:24.694174Z,RasSgRUe,SZjph9v8,0
INSERT,YETpxq7b,2024-10-04T14:07:21.179600Z,2024-10-04T14:07:21.179600Z,RasSgRUe,FXSs9CVf,1354997
INSERT,XqcGvHPg,2024-10-04T14:07:41.315073Z,2024-10-04T14:07:41.315073Z,RasSgRUe,Bs36Lr9f,-4516654
INSERT,fgLu7wHe,2024-10-04T14:08:15.814703Z,2024-10-04T14:08:15.814703Z,RasSgRUe,nNMBYWD3,20001
INSERT,yNTYPD28,2024-10-04T14:08:35.362085Z,2024-10-04T14:08:35.362085Z,RasSgRUe,yy7yR7mw,50000
INSERT,2FiYE6DH,2024-10-04T14:15:35.846615Z,2024-10-04T14:15:35.846615Z,RasSgRUe,BKugABq9,18548
INSERT,7SRHLejb,2024-10-04T14:16:14.881856Z,2024-10-04T14:16:14.881856Z,RasSgRUe,w9KXfqC6,47550
INSERT,fpbzzbkK,2024-10-04T14:16:45.418170Z,2024-10-04T14:16:45.418170Z,RasSgRUe,W3Lz4U2i,206438
INSERT,aY9cTtMK,2024-10-04T14:18:46.059662Z,2024-10-04T14:18:46.059662Z,RasSgRUe,pnGtRFkA,80105
INSERT,smhRXhwM,2024-10-04T14:19:31.748638Z,2024-10-04T14:19:31.748638Z,RasSgRUe,ekrV3GbM,183052
INSERT,iwhXt8rs,2024-10-04T14:19:59.395022Z,2024-10-04T14:19:59.395022Z,RasSgRUe,XHGYEFBk,334678
INSERT,AMdcLzWd,2024-11-06T14:17:40.439332Z,2024-11-06T14:17:40.439332Z,b5Y6EieN,pnGtRFkA,77780
INSERT,zVmtei6S,2024-11-06T14:20:29.714014Z,2024-11-06T14:20:29.714014Z,b5Y6EieN,efpmBxpS,149999
INSERT,G6mbzmvs,2024-11-06T14:20:57.201078Z,2024-11-06T14:20:57.201078Z,b5Y6EieN,uHAYzo9i,50490
INSERT,9w6Bwj5B,2024-11-06T14:21:20.060201Z,2024-11-06T14:21:20.060201Z,b5Y6EieN,FowrhphW,248343
INSERT,d3EFNsfx,2024-11-06T14:21:38.466860Z,2024-11-06T14:21:38.466860Z,b5Y6EieN,oo3dKjpa,9756
INSERT,jRzVWByj,2024-11-06T14:22:30.653215Z,2024-11-06T14:22:30.653215Z,b5Y6EieN,xa3Y4mos,1631227
INSERT,xkuy7nWR,2024-11-06T14:23:06.509570Z,2024-11-06T14:23:06.509570Z,b5Y6EieN,cHd76DUN,-5371
INSERT,6T8gNZoq,2024-11-06T14:23:37.178411Z,2024-11-06T14:23:37.178411Z,b5Y6EieN,TA23Za6E,46057
INSERT,rhNEcbW7,2024-11-06T14:24:04.647473Z,2024-11-06T14:24:04.647473Z,b5Y6EieN,hWeU9mSG,0
INSERT,u5WojLYU,2024-11-06T14:24:38.771786Z,2024-11-06T14:24:38.771786Z,b5Y6EieN,tQqodHcm,308954
INSERT,Nsaa5bjC,2024-11-06T14:25:17.913456Z,2024-11-06T14:25:17.913456Z,b5Y6EieN,26CACQcy,0
INSERT,Q8CGCFWE,2024-11-06T14:26:04.186130Z,2024-11-06T14:26:04.186130Z,b5Y6EieN,xDSpGPK7,341959
INSERT,J4shSY6q,2024-11-06T14:26:23.888202Z,2024-11-06T14:26:23.888202Z,b5Y6EieN,SZjph9v8,20134
INSERT,6rYZo7PK,2024-11-06T14:27:17.428417Z,2024-11-06T14:27:17.428417Z,b5Y6EieN,FXSs9CVf,1136547
INSERT,kd2HJSuJ,2024-11-06T14:27:43.013223Z,2024-11-06T14:27:43.013223Z,b5Y6EieN,Bs36Lr9f,-4503888
INSERT,vcZATsaS,2024-11-06T14:28:10.700529Z,2024-11-06T14:28:10.700529Z,b5Y6EieN,nNMBYWD3,14837
INSERT,oLEmwr8U,2024-11-06T14:28:29.218499Z,2024-11-06T14:28:29.218499Z,b5Y6EieN,yy7yR7mw,47557
INSERT,BfFYZrDn,2024-11-06T14:29:35.175699Z,2024-11-06T14:29:35.175699Z,b5Y6EieN,BKugABq9,20317
INSERT,Z4uCPkGs,2024-11-06T14:30:03.399766Z,2024-11-06T14:30:03.399766Z,b5Y6EieN,w9KXfqC6,537037
INSERT,wYfLr4Sg,2024-11-06T14:30:30.978494Z,2024-11-06T14:30:30.978494Z,b5Y6EieN,W3Lz4U2i,206841
INSERT,yYGdzY3R,2024-11-06T14:31:31.199548Z,2024-11-06T14:31:31.199548Z,b5Y6EieN,ekrV3GbM,379455
INSERT,XY6FEmrm,2024-11-06T14:32:43.352650Z,2024-11-06T14:32:43.352650Z,b5Y6EieN,XHGYEFBk,274134
INSERT,JPUuAAmx,2024-12-08T04:02:15.593591Z,2024-12-08T04:02:15.593591Z,b5Y6EieN,afXaDo5U,0
INSERT,LhnrnfSf,2024-12-08T03:04:40.797543Z,2024-12-08T03:04:40.797543Z,3ZumTg3X,pnGtRFkA,0
INSERT,uBNVwEcZ,2024-12-08T03:05:50.335021Z,2024-12-08T03:05:50.335021Z,3ZumTg3X,efpmBxpS,49999
INSERT,aefTPMxt,2024-12-08T03:06:15.635961Z,2024-12-08T03:06:15.635961Z,3ZumTg3X,uHAYzo9i,52114
INSERT,wnD8c8B6,2024-12-08T03:06:38.233701Z,2024-12-08T03:06:38.233701Z,3ZumTg3X,FowrhphW,273736
INSERT,hQTqmKxo,2024-12-08T03:06:58.598044Z,2024-12-08T03:06:58.598044Z,3ZumTg3X,oo3dKjpa,9904
INSERT,GtgrzbkJ,2024-12-08T03:08:13.361815Z,2024-12-08T03:08:13.361815Z,3ZumTg3X,xa3Y4mos,791403
INSERT,yZqjg8tg,2024-12-08T03:09:14.702639Z,2024-12-08T03:09:14.702639Z,3ZumTg3X,cHd76DUN,-10907
INSERT,8ejwZXbC,2024-12-08T03:09:53.489042Z,2024-12-08T03:09:53.489042Z,3ZumTg3X,TA23Za6E,46084
INSERT,ktFWqFwp,2024-12-08T03:10:25.151223Z,2024-12-08T03:10:25.151223Z,3ZumTg3X,hWeU9mSG,0
INSERT,uJ8xKhig,2024-12-08T03:10:58.376126Z,2024-12-08T03:10:58.376126Z,3ZumTg3X,tQqodHcm,321872
INSERT,wBosnG8z,2024-12-08T03:13:08.288320Z,2024-12-08T03:13:08.288320Z,3ZumTg3X,26CACQcy,0
INSERT,rgAXHHDu,2024-12-08T03:14:07.875990Z,2024-12-08T03:14:07.875990Z,3ZumTg3X,xDSpGPK7,322416
INSERT,hui4VZGE,2024-12-08T03:14:42.650405Z,2024-12-08T03:14:42.650405Z,3ZumTg3X,SZjph9v8,40704
INSERT,68gwH39p,2024-12-08T03:15:53.660280Z,2024-12-08T03:15:53.660280Z,3ZumTg3X,nNMBYWD3,0
INSERT,yAVVgrC6,2024-12-08T03:16:03.338830Z,2024-12-08T03:16:03.338830Z,3ZumTg3X,yy7yR7mw,49895
INSERT,wSNkRL9q,2024-12-08T03:16:37.920435Z,2024-12-08T03:16:37.920435Z,3ZumTg3X,BKugABq9,21247
INSERT,3GBrMJeB,2024-12-08T03:17:06.315298Z,2024-12-08T03:17:06.315298Z,3ZumTg3X,w9KXfqC6,587310
INSERT,DchkRahN,2024-12-08T03:17:30.100050Z,2024-12-08T03:17:30.100050Z,3ZumTg3X,W3Lz4U2i,269011
INSERT,Yqk2EecX,2024-12-08T03:17:56.240648Z,2024-12-08T03:17:56.240648Z,3ZumTg3X,ekrV3GbM,818828
INSERT,sBrLXByK,2024-12-08T03:18:12.355071Z,2024-12-08T03:18:12.355071Z,3ZumTg3X,XHGYEFBk,332023
INSERT,d5cXhA8s,2024-12-08T04:00:11.598360Z,2024-12-08T04:00:11.598360Z,3ZumTg3X,afXaDo5U,877610
INSERT,9jeL4cFU,2024-12-08T08:19:36.028610Z,2024-12-08T08:19:36.028610Z,3ZumTg3X,Bs36Lr9f,-4491643
INSERT,rmbzPx5R,2024-12-08T08:19:59.651873Z,2024-12-08T08:19:59.651873Z,3ZumTg3X,FXSs9CVf,918097
INSERT,WwuNvDVv,2025-01-05T14:34:01.990492Z,2025-01-05T14:34:01.990492Z,CqC5phZg,nNMBYWD3,13000
INSERT,fAsz3eau,2025-01-05T14:34:15.346356Z,2025-01-05T14:34:15.346356Z,CqC5phZg,yy7yR7mw,50158
INSERT,ouCiRyf3,2025-01-05T14:34:51.438832Z,2025-01-05T14:34:51.438832Z,CqC5phZg,BKugABq9,18855
INSERT,9mmRdUAk,2025-01-05T14:35:36.430013Z,2025-01-05T14:35:36.430013Z,CqC5phZg,FXSs9CVf,899647
INSERT,s2v8PZBv,2025-01-05T14:35:54.534631Z,2025-01-05T14:35:54.534631Z,CqC5phZg,Bs36Lr9f,-4479489
INSERT,VUnTd9g9,2025-01-05T14:36:27.014700Z,2025-01-05T14:36:27.014700Z,CqC5phZg,SZjph9v8,57482
INSERT,3dje3xNG,2025-01-05T14:37:25.492906Z,2025-01-05T14:37:25.492906Z,CqC5phZg,xDSpGPK7,302828
INSERT,JcZkuptb,2025-01-05T14:37:59.337871Z,2025-01-05T14:37:59.337871Z,CqC5phZg,tQqodHcm,314772
INSERT,RZcFtHJT,2025-01-05T14:38:54.605292Z,2025-01-05T14:38:54.605292Z,CqC5phZg,26CACQcy,0
INSERT,kVH5Uh2b,2025-01-05T14:42:54.745846Z,2025-01-05T14:42:54.745846Z,CqC5phZg,afXaDo5U,710830
INSERT,WDTrcbLq,2025-01-05T14:43:58.266659Z,2025-01-05T14:43:58.266659Z,CqC5phZg,xa3Y4mos,929801
INSERT,5cLT25Pj,2025-01-05T14:44:25.488824Z,2025-01-05T14:44:25.488824Z,CqC5phZg,FowrhphW,264164
INSERT,M2jXVrzW,2025-01-05T14:44:42.565334Z,2025-01-05T14:44:42.565334Z,CqC5phZg,oo3dKjpa,9933
INSERT,yuSzsADA,2025-01-05T14:44:57.804185Z,2025-01-05T14:44:57.804185Z,CqC5phZg,uHAYzo9i,41346
INSERT,Dzuvtqwv,2025-01-05T14:45:29.015254Z,2025-01-05T14:45:29.015254Z,CqC5phZg,cHd76DUN,-12612
INSERT,xzriY2ii,2025-01-05T14:46:20.480968Z,2025-01-05T14:46:20.480968Z,CqC5phZg,TA23Za6E,46112
INSERT,6P4Wn7hF,2025-01-05T14:46:29.232441Z,2025-01-05T14:46:29.232441Z,CqC5phZg,hWeU9mSG,0
INSERT,Bpfch4wv,2025-01-05T14:47:42.086974Z,2025-01-05T14:47:42.086974Z,CqC5phZg,efpmBxpS,20001
INSERT,WGJD5cgT,2025-01-05T14:49:05.544449Z,2025-01-05T14:49:05.544449Z,CqC5phZg,W3Lz4U2i,521095
INSERT,rauR2Eak,2025-01-05T14:49:21.507008Z,2025-01-05T14:49:21.507008Z,CqC5phZg,w9KXfqC6,175524
INSERT,pGUGgues,2025-01-05T14:49:38.718110Z,2025-01-05T14:49:38.718110Z,CqC5phZg,XHGYEFBk,1367029
INSERT,A8uSiHym,2025-01-05T14:50:32.570726Z,2025-01-05T14:50:32.570726Z,CqC5phZg,ekrV3GbM,242203
INSERT,bKbjzSL5,2025-01-05T15:10:22.000452Z,2025-01-05T15:10:22.000452Z,CqC5phZg,WeVFcpFj,100022
INSERT,TvEeCrJi,2025-02-08T04:01:24.487836Z,2025-02-08T04:01:24.487836Z,EMyzZpEy,WeVFcpFj,93299
INSERT,NtnbqjMR,2025-02-08T04:02:16.464491Z,2025-02-08T04:02:16.464491Z,EMyzZpEy,ekrV3GbM,381277
INSERT,4btmtYUp,2025-02-08T04:02:37.417530Z,2025-02-08T04:02:37.417530Z,EMyzZpEy,XHGYEFBk,1330003
INSERT,jCooKQyQ,2025-02-08T04:03:13.490952Z,2025-02-08T04:03:13.490952Z,EMyzZpEy,w9KXfqC6,98926
INSERT,CMJ8bt83,2025-02-08T04:03:27.522791Z,2025-02-08T04:03:27.522791Z,EMyzZpEy,W3Lz4U2i,522897
INSERT,UfyshsBN,2025-02-08T04:06:03.227451Z,2025-02-08T04:06:03.227451Z,EMyzZpEy,cHd76DUN,-14014
INSERT,KWFEz8Kd,2025-02-08T04:06:29.727002Z,2025-02-08T04:06:29.727002Z,EMyzZpEy,uHAYzo9i,39539
INSERT,ShWhtbCN,2025-02-08T04:06:48.600213Z,2025-02-08T04:06:48.600213Z,EMyzZpEy,oo3dKjpa,10196
INSERT,WDqLujFK,2025-02-08T04:07:10.248994Z,2025-02-08T04:07:10.248994Z,EMyzZpEy,FowrhphW,289831
INSERT,Q4UiVD3p,2025-02-08T04:07:43.266207Z,2025-02-08T04:07:43.266207Z,EMyzZpEy,xa3Y4mos,814093
INSERT,dUALrbPQ,2025-02-08T04:11:28.136519Z,2025-02-08T04:11:28.136519Z,EMyzZpEy,afXaDo5U,871440
INSERT,XpU2vXX6,2025-02-08T04:12:14.295478Z,2025-02-08T04:12:14.295478Z,EMyzZpEy,TA23Za6E,46640
INSERT,RyyQbCiY,2025-02-08T04:13:55.591181Z,2025-02-08T04:13:55.591181Z,EMyzZpEy,26CACQcy,0
INSERT,q7UfeZ3s,2025-02-08T04:14:08.421675Z,2025-02-08T04:14:08.421675Z,EMyzZpEy,tQqodHcm,318037
INSERT,DSWcfg9a,2025-02-08T04:14:40.483163Z,2025-02-08T04:14:40.483163Z,EMyzZpEy,xDSpGPK7,275026
INSERT,ir7KTNhN,2025-02-08T04:15:04.449077Z,2025-02-08T04:15:04.449077Z,EMyzZpEy,SZjph9v8,84791
INSERT,DahyCkD6,2025-02-08T04:15:48.619969Z,2025-02-08T04:15:48.619969Z,EMyzZpEy,Bs36Lr9f,-4467674
INSERT,fUomvA9x,2025-02-08T04:16:02.405162Z,2025-02-08T04:16:02.405162Z,EMyzZpEy,FXSs9CVf,781197
INSERT,hWcBDumj,2025-02-08T04:16:50.679693Z,2025-02-08T04:16:50.679693Z,EMyzZpEy,BKugABq9,17272
INSERT,f6meK8q4,2025-02-08T04:17:11.183211Z,2025-02-08T04:17:11.183211Z,EMyzZpEy,yy7yR7mw,54199
